technology,skill,type,difficulty,title,body,option_a,option_b,option_c,option_d,correct_answer,explanation,time_limit_seconds,max_score
Python,Core Python,mcq,beginner,What is the output of print(type([]))?,What does the following Python expression evaluate to? print(type([])),<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,A,[] creates an empty list so type([]) returns <class 'list'>,60,5
Python,Core Python,mcq,intermediate,What is the output of print(3 * 'ab')?,What does the following expression output? print(3 * 'ab'),ababab,ab3,Error,3ab,A,String repetition operator * repeats the string 3 times,60,5
Python,OOP in Python,mcq,intermediate,Which keyword is used to inherit from a parent class?,In Python which syntax correctly defines a class Dog that inherits from Animal?,class Dog(Animal):,class Dog extends Animal:,class Dog inherits Animal:,class Dog <- Animal:,A,Python uses parentheses after the class name to specify the parent class,60,5
Python,Decorators & Generators,mcq,advanced,What does the yield keyword do?,What happens when a Python function contains a yield statement?,It turns the function into a generator that produces values lazily,It returns a value and terminates the function,It raises a StopIteration exception,It imports a module dynamically,A,A function with yield becomes a generator function producing values lazily,90,10
Python,Error Handling,mcq,beginner,Which block always executes regardless of exceptions?,In a try/except/finally structure which block always executes?,finally,except,else,try,A,The finally block always executes whether or not an exception occurred,60,5
JavaScript,ES6+ Features,mcq,beginner,What is the difference between let and var?,Which statement best describes the difference between let and var?,let is block-scoped var is function-scoped,let is function-scoped var is block-scoped,They are identical,let cannot be reassigned,A,let is block-scoped while var is function-scoped. let was introduced in ES6,60,5
JavaScript,Closures & Scope,mcq,intermediate,What is a closure in JavaScript?,Which statement best defines a closure?,A function that has access to its outer scope variables even after the outer function returns,A function that cannot access global variables,A function that is immediately invoked,A function without parameters,A,A closure is a function that retains access to variables from its outer scope,90,10
JavaScript,Promises & Async/Await,mcq,intermediate,What does Promise.all() do?,What is the behavior of Promise.all([p1 p2 p3])?,Resolves when all promises resolve; rejects if any reject,Resolves when the first promise resolves,Always resolves ignoring rejected promises,Executes promises sequentially,A,Promise.all waits for all promises to resolve. If any reject the whole result rejects,90,10
JavaScript,Event Loop,mcq,advanced,What is the order of execution?,What is the output: console.log(1) setTimeout(=>console.log(2) 0) Promise.resolve().then(=>console.log(3)) console.log(4),"1, 4, 3, 2","1, 2, 3, 4","1, 4, 2, 3","1, 3, 4, 2",A,Synchronous code runs first then microtasks (Promise) then macrotasks (setTimeout),120,10
JavaScript,Array Methods,mcq,beginner,Which method adds an element to the end of an array?,Which JavaScript array method adds elements to the end of an array?,push(),unshift(),pop(),shift(),A,push() adds elements to the end of an array and returns the new length,60,5
TypeScript,Type System,mcq,beginner,What is the TypeScript type for string or number?,How do you declare a variable that can hold either a string or a number?,let x: string | number,let x: string & number,let x: string + number,let x: any,A,Union types use the | operator: string | number,60,5
TypeScript,Generics,mcq,intermediate,What are generics used for in TypeScript?,What is the primary purpose of generics in TypeScript?,To create reusable components that work with multiple types while preserving type safety,To make all types nullable,To convert JavaScript to TypeScript,To remove type checking,A,Generics allow you to write reusable components that work with multiple types,90,10
Java,Core Java,mcq,beginner,What is the entry point of a Java application?,Which method signature is the entry point of a standard Java application?,public static void main(String[] args),public void main(String args),static void main(),public static int main(String[] args),A,The JVM looks for public static void main(String[] args) to start execution,60,5
Java,Collections Framework,mcq,intermediate,ArrayList vs LinkedList difference?,Which statement describes the key difference between ArrayList and LinkedList?,ArrayList provides O(1) random access; LinkedList provides O(1) insertions at ends,They are identical in performance,LinkedList provides O(1) random access,ArrayList is thread-safe LinkedList is not,A,ArrayList uses dynamic array (fast random access) LinkedList uses doubly-linked list,90,10
Java,Multithreading,mcq,advanced,What does the synchronized keyword do?,What is the effect of using the synchronized keyword in Java?,Ensures only one thread can execute the block at a time,Makes the method run faster,Allows multiple threads to access simultaneously,Stops all other threads permanently,A,Ensures only one thread can execute the synchronized block/method at a time,90,10
React,Hooks (useState useEffect),mcq,beginner,What does useState return?,What does the useState hook return in React?,An array with the current state value and a setter function,Only the current state value,A Promise,An object with get and set methods,A,useState returns an array with current state value and setter function,60,5
React,Components & JSX,mcq,beginner,What is JSX?,What is JSX in React?,A syntax extension that lets you write HTML-like code in JavaScript,A new programming language,A CSS framework,A database query language,A,JSX is a syntax extension for JavaScript used to describe UI in React components,60,5
SQL,SELECT & Joins,mcq,beginner,What does INNER JOIN return?,What rows does an INNER JOIN return?,Only rows that have matching values in both tables,All rows from both tables,All rows from the left table,Only rows from the right table,A,An INNER JOIN returns only rows where there is a matching value in both tables,60,5
SQL,Aggregations,mcq,intermediate,WHERE vs HAVING difference?,What is the key difference between WHERE and HAVING?,WHERE filters rows before GROUP BY; HAVING filters groups after aggregation,They are interchangeable,WHERE works only with numbers,HAVING filters rows before GROUP BY,A,WHERE filters rows before grouping HAVING filters groups after aggregation,90,10
SQL,Window Functions,mcq,advanced,What does ROW_NUMBER() do?,What is the purpose of the ROW_NUMBER() window function?,Assigns a unique sequential number to each row within a partition,Returns the total number of rows in a table,Deletes duplicate rows,Counts all rows matching a condition,A,ROW_NUMBER() assigns a unique sequential integer to each row within a partition,90,10
Docker,Dockerfiles,mcq,beginner,What does the FROM instruction do?,What is the purpose of the FROM instruction in a Dockerfile?,Specifies the base image for the build,Copies files into the container,Sets environment variables,Starts the container,A,FROM specifies the base image for the Docker build,60,5
Docker,Docker Compose,mcq,intermediate,What does docker compose up -d do?,What is the effect of running docker compose up -d?,Starts all services in detached (background) mode,Destroys all containers,Downloads images only,Starts in debug mode,A,The -d flag runs containers in detached mode (in the background),60,5
Git,Branching & Merging,mcq,beginner,What does git merge do?,What is the purpose of the git merge command?,Integrates changes from one branch into the current branch,Deletes a branch,Creates a new branch,Undoes the last commit,A,git merge integrates changes from one branch into the current branch,60,5
AWS,S3,mcq,beginner,What is Amazon S3?,What is the primary purpose of Amazon S3?,Object storage service for storing and retrieving data,A relational database service,A compute service for running servers,A DNS management service,A,Amazon S3 is an object storage service for any amount of data,60,5
